firstname,Email,Subject,Body,Business,City,ST,Phone,Website,Campaign Rank,Priority Tier,Campaign Date,Mailbox,Prospect TZ,Rating,Reviews,Employees,Locations,Segment,Coverage gap,Body Words,Offer Made,Strategic Angle,Business Insight,MICRONS Capability,Research / Personalization Basis,Research Depth,QA Notes
,support@skinworksmed.com,the flagship,"Hey {{ firstname | there }},

I was looking at Skin Works — Torrance carrying the full menu with on-site access to the Adonis surgeons is a real advantage over the other locations, and it means the Torrance line gets a different kind of call.

There's an obvious next step I'd test: what happens to those calls on the 844 number.

A shared toll-free line means a surgical-adjacent inquiry and a laser hair removal booking queue behind each other identically. I'd qualify at the point of contact — routine bookings straight through, anything that needs the flagship or a surgeon's input identified and escalated to a person rather than answered.

The goal isn't to bypass your front desk — it's to make sure your highest-value inquiries aren't waiting behind your most routine ones.

I'll build it, monitor it, and keep working at no additional cost until it books 30 appointments and correctly escalates the ones that need a person. Your team only needs to approve the rules once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 11 am or Friday at 9 am PT — just reply with either.

Vedant",Skin Works Medical Spa | Torrance,Redondo Beach,CA,(844) 759-6757,https://skinworksmed.com/,90,A,9/9/2026,5,PT,4.8,336,,,,HOURS NOT IN WORKBOOK - do not claim a closure,195,Build + monitor free until 30 appointments booked and high-value inquiries correctly escalated; approve rules once.,Triage on a shared toll-free line serving mixed-value inquiries,A single queue treats a surgical-adjacent consult and a routine booking identically.,"Lead Qualification + escalation, layered in front of the existing central line",Founder and owner Dr. Matt Tahsini; established Oct 2014; Torrance (2573 Pacific Coast Hwy) is the flagship carrying the full menu with on-site access to Adonis Plastic Surgery surgeons; multi-location; 844 toll-free number,Verified - business detail,Flagship and surgeon-access detail verified from site. Hours not claimed. Clinical escalation explicit.
Carolynne,hello@bellagloaesthetics.com,carlsbad village,"Hey {{ firstname | there }},

I was looking at Bella Glo — injecting since 2014 and running a five-star practice out of Carlsbad Village while a forty-location chain operates in the same town. You're winning on the thing that actually matters and losing on nothing except coverage.

There's an obvious next step I'd test: the hours a chain can staff and an independent can't.

You're closed Sundays; they aren't everywhere. I'd have inquiries that arrive outside your hours answered immediately, qualified for what they're asking about, and booked into your calendar as pending for you to confirm.

The goal isn't to make you operate like a chain — it's to stop opening hours being the only category where they beat you.

I'll build it, monitor it, and keep working at no additional cost until it books 25 consultations from hours you're closed. You only need to approve what it can say, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 1 pm PT — just reply with either.

Vedant",Bella Glo Medical Aesthetics & Wellness,Carlsbad,CA,(760) 453-7523,https://www.bellagloaesthetics.com/,91,A,9/9/2026,1,PT,5,333,,,,Sunday,180,Build + monitor free until 25 consultations booked from closed hours; approve permitted answers once.,Independent-versus-chain coverage parity,An independent's trust advantage is neutralised by a chain's ability to staff hours it cannot.,AI Receptionist / after-hours and closed-day capture,"Co-owner Carolynne Eng-McBride, RN BSN, Master Injector, injecting since 2014; 2808 Roosevelt St, Carlsbad Village; serves San Marcos, Del Mar, Encinitas, Oceanside, Vista, Poway; 5.0/333 reviews; closed Sunday",Verified - owner/founder named,"Competitor referenced generically, not named - a 40-location chain does operate in this market (also in this lead list)."
,info@zeroagemedspa.com,korean-inspired,"Hey {{ firstname | there }},

I was looking at Zero Age — building a Katy med spa around Korean-inspired aesthetics with an MD, PhD, NP and RN on the team is a specific enough position that people seek you out rather than compare you on price.

There's an obvious next step I'd test: the free consultation.

Offering it removes the barrier, but it also means a lot of inquiries arrive undecided and need real answers before they'll commit to a time. I'd have those answered as they come in with what your team has approved, qualified for what they're actually interested in, and booked into the consult calendar.

The goal isn't to filter anyone out — it's to make sure a free consultation gets booked while someone is still curious rather than a day later.

I'll build it, monitor it, and keep working at no additional cost until it books 25 consultations. Your team only needs to approve the answers once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 9.30 am or Friday at 1 pm CT — just reply with either.

Vedant",Zero Age MedSpa Katy,Katy,TX,(281) 769-9608,https://www.zeroagemedspa.com/,92,A,9/9/2026,2,CT,5,328,,,,HOURS NOT IN WORKBOOK - do not claim a closure,189,Build + monitor free until 25 consultations booked; approve answers once.,Converting a free-consultation offer before intent decays,A free consult lowers the barrier but raises the volume of undecided inquiries needing fast answers.,AI Receptionist / approved-FAQ handling + consultation booking,"Korean-inspired aesthetics positioning; team includes MD, PhD, NP and RN; free consultations; Botox, fillers, HydraFacial, skin tightening, weight loss; site includes retail cart; Allē partner",Verified - business detail,Hours not claimed - workbook flagged unknown and research did not confirm.
Vivi,nursevivi@aestheticsbyvivi.com,between appointments,"Hey {{ firstname | there }},

I was looking at how you work — a specialised treatment plan built for each client, goals talked through every visit. That's the reason people drive to Roseville for you, and it's also the reason the practice is capped by your hands.

There's an obvious next step I'd test: the phone.

When the practice is you, every inquiry answered is a minute not injecting, and it never arrives when you're free. I'd have inquiries answered and qualified while you're with a client, then booked into your calendar as pending so you approve them between appointments. Nothing clinical gets answered — that comes to you.

The goal isn't to put a barrier between you and your clients — it's to stop the admin arriving at the exact moment you can't take it.

I'll build it, monitor it, and keep working at no additional cost until it books 25 appointments without interrupting you. You only need to approve what it's allowed to say, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 12 pm PT — just reply with either.

Vedant",Aesthetics by Vivi,Roseville,CA,(916) 633-1691,https://aestheticsbyvivi.com/,93,A,9/9/2026,3,PT,5,327,,,,Sunday,195,Build + monitor free until 25 appointments booked without interrupting the practitioner; approve permitted answers once.,Solo-practitioner opportunity cost,"For a solo injector, phone time trades one-for-one against billable treatment time.",AI Receptionist + clinical escalation to the practitioner,"Nurse Vivi, RN, solo practitioner; 1850 Sierra Gardens Dr, Roseville; known for Russian lip filler, facial balancing, biostimulators; builds an individual treatment plan per client; hours M-Sat 9-6, closed Sunday (verified)",Verified - owner/founder named,Solo model verified. Clinical escalation explicit per medical-safety rules.
Idan,info@idanmedspa.com,sf and encino,"Hey {{ firstname | there }},

I was looking at Idan Med Spa — running the Mission and Encino while carrying your own skincare line alongside Obagi and Face Reality is more vertical integration than most six-year-old practices attempt.

There's an obvious next step I'd test: connecting the skincare side to the appointment side.

Someone on a Face Reality protocol or working through your own line is on a known replenishment schedule, and that schedule tells you when their next facial should be. I'd tie the two together — one prompt at the right interval offering the refill and the next appointment, at whichever location they use.

The goal isn't to push product — it's to let a purchase you already have on record set the timing for the next visit.

I'll build it, monitor it, and keep working at no additional cost until it books 30 return appointments. Your team only needs to connect the client history once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 2 pm or Friday at 9 am PT — just reply with either.

Vedant",Idan Med Spa,San Francisco,CA,(628) 222-7522,https://www.idanmedspa.com/,94,A,9/9/2026,4,PT,4.9,325,,,,HOURS NOT IN WORKBOOK - do not claim a closure,186,Build + monitor free until 30 return appointments booked; connect client history once.,Skincare-protocol-triggered rebooking across two sites,Product protocols carry dated replenishment signals that predict the next service visit.,Patient Reactivation triggered by purchase and protocol history + location routing,"Owner Idan, licensed esthetician, established 2019; two locations - Mission District SF (3520 20th St) and Encino; carries own skincare line plus Obagi and Face Reality; HydraFacial MD, body cavitation",Verified - owner/founder named,NOTE: verified as OPEN 7 DAYS - no closure claimed anywhere in this email.
,admin@athenamedspaandsalon.com,the salon side,"Hey {{ firstname | there }},

I was looking at Athena — a medspa built onto a salon space Dino created thirty years ago, with wellness consultations running alongside. Your salon clients are the warmest aesthetics leads any practice could ask for: they already trust you and they're already in the building.

There's an obvious next step I'd test: asking them.

Colour clients come in every six to eight weeks and most have never been offered the medspa side. I'd identify salon clients with no aesthetics history, prompt them once at a sensible interval with something relevant rather than a general offer, and book it into your calendar.

The goal isn't to cross-sell aggressively — it's to make the introduction happen consistently instead of when someone remembers to mention it at the chair.

I'll build it, monitor it, and keep working at no additional cost until it books 30 medspa consultations from your salon list. Your team only needs to connect the client data once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 11 am or Friday at 2 pm ET — just reply with either.

Vedant",Athena Med Spa and Salon,West Palm Beach,FL,(561) 833-7611,https://www.athenamedspaandsalon.com/locations/west-palm-beach/,95,A,9/9/2026,5,ET,4.9,323,,,,Sunday,192,Build + monitor free until 30 medspa consultations booked from the salon list; connect client data once.,Salon-to-medspa cross-sell against an existing trusted audience,"An attached salon supplies a pre-trusted, high-frequency audience at zero acquisition cost.",Leads Concierge / Patient Reactivation applied to an existing client base,"Dr. Avron Lipschitz with Dino Laudati, master hair colorist who created the salon space 30+ years ago; locations West Palm Beach (701 S Olive Ave) and Stuart; wellness consultations page covering HRT, lymphatic massage, weight loss; complimentary valet",Verified - business detail,"Cross-sell framed as 'most have never been offered' - a general pattern, not a claim about their records. Closed Sunday per workbook; not referenced."
Morganne,morganne@sdbotox.com,sabre springs,"Hey {{ firstname | there }},

I was looking at SDBotox — thirteen years from one clinic to eight across San Diego plus Texas, all built on treatments people need again every three or four months. That's a model where retention isn't a nice-to-have, it's the whole business.

There's an obvious next step I'd test: patients who are past their window.

Neurotoxin has a clock, and Sabre Springs draws from Poway, Rancho Bernardo, 4S Ranch and Scripps Ranch — people who won't drive over for a reminder they never got. I'd flag anyone overdue with nothing booked and prompt them against their own last treatment date, booking at their usual location.

The goal isn't another campaign — it's to make the recall automatic across sites rather than something each location does differently.

I'll build it, monitor it, and keep working at no additional cost until it rebooks 40 patients. Your team only needs to connect the treatment dates once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 1 pm PT — just reply with either.

Vedant",SDBotox - Sabre Springs,Rancho Santa Fe,CA,(844) 732-6869,https://sdbotox.com/location/med-spa-poway/,96,A,9/9/2026,1,PT,4.9,313,,,,Sunday,186,Build + monitor free until 40 patients rebooked; connect treatment dates once.,Single-modality recall across a multi-site footprint,"A tox-led model has a tight, predictable recall window, making lapse tracking the primary growth lever.",Patient Reactivation / recurring-treatment recall with location routing,"Founded by Dr. Alex Roher MD in 2012; eight San Diego locations (La Mesa, La Jolla, Carlsbad, Little Italy, Pacific Beach, Sabre Springs, Mission Valley, Chula Vista) plus Austin and Killeen TX; Sabre Springs serves Poway, Rancho Bernardo, 4S Ranch, Carmel Mountain, Scripps Ranch",Verified - owner/founder named,"Recall interval is a general clinical norm, not a claim about their patients. Closed Sunday per workbook; not referenced."
,info@bodyloungemedspa.com,the complimentary consult,"Hey {{ firstname | there }},

I was looking at Body Lounge — every treatment plan starting with a complimentary consultation is the right call for body work, because nobody commits to Emsculpt or contouring off a price list.

There's an obvious next step I'd test: what happens between session two and session five.

Body treatments are sold as a course, which means the money is committed up front but the result depends on someone returning six times. The drop-off is almost never at the start — it's in the middle, and it turns into a refund conversation rather than a rebooking.

I'd track where each patient is in their course, flag anyone who hasn't booked their next session in the expected window, and prompt them into Vagaro directly.

The goal isn't to chase people — it's to catch the gap while it's still a scheduling problem.

I'll build it, monitor it, and keep working at no additional cost until it books 30 mid-course sessions. Your team only needs to hand over the treatment plans once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 1 pm or Friday at 10 am ET — just reply with either.

Vedant",Body Lounge Med Spa,Weston,FL,(954) 849-8726,https://bodyloungemedspa.com/?utm_source=google-map&utm_campaign=gmb&utm_medium=organic,97,A,9/9/2026,2,ET,4.9,294,,,,Sunday,203,Build + monitor free until 30 mid-course sessions booked; hand over treatment plans once.,Mid-course adherence in multi-session body treatments,"Series-based body work leaks revenue mid-course, not at the point of sale.",Patient Reactivation / treatment-series adherence tracking over existing Vagaro booking,"Every treatment plan begins with a complimentary consultation; Emsculpt, RF and vacuum therapy, cold-assisted contouring, titanium laser, physician-supervised weight management; 16612 Saddle Club Rd; Vagaro booking and WhatsApp; hours M-F 9-7, Sat 9-5, closed Sunday (verified)",Verified - business detail,"Refund risk stated as a general consequence, not a claim about their refunds."
Briana,help@museaestheticsandlaser.com,become your own muse,"Hey {{ firstname | there }},

I was looking at Muse — a board-certified PA with a medical dermatology background running an aesthetics practice is a different starting point from most injector-led spas, and it shows in how the CO2 and facial balancing work is described.

There's an obvious next step I'd test: your FAQ page.

You've already written out the answers people ask for most, which means the hard part is done. I'd put those same approved answers to work at the moment someone asks — replying immediately, qualifying what they're considering, and booking into your calendar as pending. Anything clinical gets collected and comes to you rather than being answered.

The goal isn't to replace your judgement — it's to make sure the answers you've already written reach people at midnight, not the next working day.

I'll build it, monitor it, and keep working at no additional cost until it books 25 consultations. You only need to approve what it can say, once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 3 pm or Friday at 11 am ET — just reply with either.

Vedant",Muse Aesthetics & Laser,Tampa,FL,(813) 771-2061,https://www.museaestheticsandlaser.com/,98,A,9/9/2026,3,ET,5,291,,,,Sunday,192,Build + monitor free until 25 consultations booked; approve permitted answers once.,Activating an existing FAQ as a real-time response layer,The practice has already authored its approved answers; the gap is delivering them at the moment of the question.,AI Receptionist / approved-FAQ handling with clinical escalation,"Founder Briana Martinez, PA-C, board-certified with a medical and cosmetic dermatology background; 2111 W Swann Ave, Tampa; tagline 'Become Your Own Muse'; dedicated FAQ and Providers pages; CO2 resurfacing, PRF, facial balancing",Verified - owner/founder named,Uses their own published FAQ as the hook. Closed Sunday per workbook; not referenced. Clinical escalation explicit.
Jennifer,info@bostonmedicalaesthetics.net,faneuil hall,"Hey {{ firstname | there }},

I was looking at Boston Medical Aesthetics — fifteen years, woman-owned and operated, forty years of combined experience on a five-person team down by Faneuil Hall. That's a lot of expertise concentrated in very few people.

There's an obvious next step I'd test: protecting their time.

With a team that size, every inquiry that needs answering comes out of someone who could be treating instead. I'd have inquiries answered and qualified as they arrive, booked into Vagaro as pending for your team to confirm, with anything clinical collected and routed to a person rather than answered.

The goal isn't to add a layer between you and patients — it's to make sure the five of you spend your time on the part only you can do.

I'll build it, monitor it, and keep working at no additional cost until it books 25 appointments without pulling anyone off the floor. Your team only needs to approve the answers once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 10 am or Friday at 2 pm ET — just reply with either.

Vedant",Boston Medical Aesthetics,Boston,MA,(617) 973-9700,https://www.bostonmedicalaesthetics.net/?utm_source=gmb&utm_medium=organic,99,A,9/9/2026,4,ET,4.9,287,,,,Sunday,191,Build + monitor free until 25 appointments booked without staff involvement; approve answers once.,Protecting scarce clinical capacity on a small expert team,A five-person team with deep expertise has no low-cost hours to spend on intake.,"AI Receptionist + Lead Qualification over existing Vagaro booking, with clinical escalation","Founder Jennifer Canesi, ANP-BC, established 2010; woman-owned and operated; Faneuil Hall area, 21 Merchants Row; 40+ years combined team experience; NPs and master injectors, natural results first; Vagaro booking; ~5 staff",Verified - owner/founder named,Closed Sunday per workbook; not referenced. Clinical escalation explicit.
,info@acceleratedaesthetics.com,treatments by decade,"Hey {{ firstname | there }},

I was looking at how Accelerated Aesthetics organises its site — treatments by decade, and a client success stories page. Sorting by life stage rather than by machine is a much better way to think about aesthetics, and almost nobody does it.

There's an obvious next step I'd test: using that same thinking for follow-up.

If your content already understands that someone in their forties and someone in their sixties are on different paths, your rebooking should too. I'd flag anyone past their expected return window and prompt them against the treatment they actually had and where they are in it, booking straight into your calendar.

The goal isn't to add a marketing layer — it's to make the follow-up as specific as the site already is.

I'll build it, monitor it, and keep working at no additional cost until it brings 30 clients back onto the schedule. Your team only needs to hand over the visit history once.

I'm opening this for two practices this month. Worth 15 minutes?

Thursday at 1 pm or Friday at 10 am CT — just reply with either.

Vedant",Accelerated Aesthetics,Darien,CT,(630) 439-7540,http://www.acceleratedaesthetics.com/,100,A,9/9/2026,5,ET,4.8,287,,,,Sunday,192,Build + monitor free until 30 clients rebooked; hand over visit history once.,Life-stage-specific reactivation mirroring existing content strategy,"The practice already segments by life stage in its content but not, typically, in its follow-up.",Patient Reactivation with treatment- and stage-specific cadence,"Distinctive site assets: 'Treatments by Decade' series, 'Client Success Stories' page, memberships page; AquaJet Facial, NAD+ therapy, SkinPen microneedling, PRP hair, medical weight loss; team of doctors, nurses and estheticians","Verified - DATA ISSUE, see QA Notes","IMPORTANT: practice is in ELMHURST, IL (Chicago western suburbs), not Darien CT as the workbook states - the 630 area code confirms Illinois. CTA uses CT accordingly. Verify the record before sending."
